course_id,course_name,credits,course_category,quiz,lab,btl,giua_ky,cuoi_ky,nguon
CO3119,Đồ án Mạng máy tính,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3129,Bảo mật Phần mềm,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3131,Công nghệ Phần mềm thế hệ mới,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3133,Học sâu và Ứng dụng,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3135,Lập trình cho Trí tuệ nhân tạo và Khoa học dữ liệu,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3137,Dữ liệu lớn,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3139,Chuyển đổi số,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3151,Quản trị mạng,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3153,Đánh giá an toàn mạng máy tính,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3335,Thực tập Ngoài trường,2,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4025,Mạng xã hội và Thông tin,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4029,Đồ án Chuyên ngành,2,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4031,Kho dữ Liệu và Hệ hỗ trợ Quyết định,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4035,Hệ hoạch Định tài Nguyên tổ chức,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4037,Hệ thống thông tin quản lý,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO4039,Bảo mật sinh trắc,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO4337,Đồ án Tốt nghiệp (Khoa học Máy tính),4,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
IM1013,Kinh tế học Đại cương,3,kinh_te,0,0,20,30,50,tao_tu_quy_tac_tin_chi
IM1023,Quản lý Sản xuất cho Kỹ sư,3,kinh_te,0,20,20,0,60,tao_tu_quy_tac_tin_chi
IM1025,Quản lý Dự án cho Kỹ sư,3,kinh_te,0,0,20,30,50,tao_tu_quy_tac_tin_chi
IM1027,Kinh tế Kỹ thuật,3,kinh_te,0,0,20,30,50,tao_tu_quy_tac_tin_chi
IM3001,Quản trị Kinh doanh cho Kỹ sư,3,kinh_te,10,0,20,20,50,tao_tu_quy_tac_tin_chi
LA1003,Anh văn 1,2,ngoai_ngu,0,0,20,30,50,tao_tu_quy_tac_tin_chi
LA1005,Anh văn 2,2,ngoai_ngu,0,0,20,30,50,tao_tu_quy_tac_tin_chi
LA1007,Anh văn 3,2,ngoai_ngu,10,0,20,20,50,tao_tu_quy_tac_tin_chi
LA1009,Anh văn 4,2,ngoai_ngu,0,0,20,30,50,tao_tu_quy_tac_tin_chi
MI1003,Giáo dục Quốc phòng,0,giao_duc,0,0,20,20,60,tao_tu_quy_tac_tin_chi
MT1003,Giải tích 1,4,toan_ly_hoa,0,0,20,20,60,tao_tu_quy_tac_tin_chi
MT1005,Giải tích 2,4,toan_ly_hoa,0,0,20,20,60,tao_tu_quy_tac_tin_chi
MT1007,Đại số Tuyến tính,3,toan_ly_hoa,0,0,20,30,50,tao_tu_quy_tac_tin_chi
MT2013,Xác suất và Thống kê,4,toan_ly_hoa,0,0,20,20,60,tao_tu_quy_tac_tin_chi
PE1003,Giáo dục thể chất 1,0,giao_duc,0,0,20,20,60,tao_tu_quy_tac_tin_chi
PE1005,Giáo dục thể chất 2,0,giao_duc,0,0,20,20,60,tao_tu_quy_tac_tin_chi
PH1003,Vật lý 1,4,toan_ly_hoa,0,0,20,20,60,tao_tu_quy_tac_tin_chi
PH1007,Thí nghiệm Vật lý,1,toan_ly_hoa,40,0,0,0,60,tao_tu_quy_tac_tin_chi
SP1007,Pháp luật Việt Nam Đại cương,2,chinh_tri,0,0,20,30,50,tao_tu_quy_tac_tin_chi
SP1031,Triết học Mác - Lênin,3,chinh_tri,20,0,30,0,50,tao_tu_quy_tac_tin_chi
SP1033,Kinh tế Chính trị Mác - Lênin,2,chinh_tri,20,0,30,0,50,tao_tu_quy_tac_tin_chi
SP1035,Chủ nghĩa Xã hội Khoa học,2,chinh_tri,20,0,30,0,50,tao_tu_quy_tac_tin_chi
SP1037,Tư tưởng Hồ Chí Minh,2,chinh_tri,20,0,30,0,50,tao_tu_quy_tac_tin_chi
SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,chinh_tri,20,0,30,0,50,tao_tu_quy_tac_tin_chi
