course_id,course_code,course_name,credits,course_group
44,CO3101,Đồ án Tổng hợp - Hướng Trí tuệ Nhân tạo,1,ELECTIVE_GROUP_A
45,CO3103,Đồ án Tổng hợp - hướng Công nghệ Phần mềm,1,ELECTIVE_GROUP_A
46,CO3105,Đồ án Tổng hợp - Hướng Hệ thống Thông tin,1,ELECTIVE_GROUP_A
47,CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,ELECTIVE_GROUP_B
48,CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mềm,1,ELECTIVE_GROUP_B
49,CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,ELECTIVE_GROUP_B
50,CO3115,Phân tích và Thiết kế Hệ thống,3,ELECTIVE_GROUP_C
51,CO3117,Học máy,3,ELECTIVE_GROUP_C
52,CO3119,Đồ án Mạng máy tính,1,NON_ELECTIVE
53,CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,ELECTIVE_GROUP_A
54,CO3129,Bảo mật Phần mềm,3,NON_ELECTIVE
55,CO3131,Công nghệ Phần mềm thế hệ mới,3,NON_ELECTIVE
56,CO3133,Học sâu và Ứng dụng,3,NON_ELECTIVE
57,CO3135,Lập trình cho Trí tuệ nhân tạo và Khoa học dữ liệu,3,NON_ELECTIVE
58,CO3137,Dữ liệu lớn,3,NON_ELECTIVE
59,CO3139,Chuyển đổi số,3,NON_ELECTIVE
60,CO3151,Quản trị mạng,3,NON_ELECTIVE
61,CO3153,Đánh giá an toàn mạng máy tính,3,NON_ELECTIVE
62,CO3335,Thực tập Ngoài trường,2,NON_ELECTIVE
63,CO4025,Mạng xã hội và Thông tin,3,ELECTIVE_GROUP_C
64,CO4029,Đồ án Chuyên ngành,2,NON_ELECTIVE
65,CO4031,Kho dữ Liệu và Hệ hỗ trợ Quyết định,3,ELECTIVE_GROUP_C
66,CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,ELECTIVE_GROUP_C
67,CO4035,Hệ hoạch Định tài Nguyên tổ chức,3,ELECTIVE_GROUP_C
68,CO4037,Hệ thống thông tin quản lý,3,ELECTIVE_GROUP_C
69,CO4039,Bảo mật sinh trắc,3,ELECTIVE_GROUP_C
70,CO4337,Đồ án Tốt nghiệp (Khoa học Máy tính),4,NON_ELECTIVE
71,IM1013,Kinh tế học Đại cương,3,ELECTIVE_MANAGEMENT
72,IM1023,Quản lý Sản xuất cho Kỹ sư,3,ELECTIVE_MANAGEMENT
73,IM1025,Quản lý Dự án cho Kỹ sư,3,ELECTIVE_MANAGEMENT
74,IM1027,Kinh tế Kỹ thuật,3,ELECTIVE_MANAGEMENT
75,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,ELECTIVE_MANAGEMENT
76,LA1003,Anh văn 1,2,NON_ELECTIVE
77,LA1005,Anh văn 2,2,NON_ELECTIVE
78,LA1007,Anh văn 3,2,NON_ELECTIVE
79,LA1009,Anh văn 4,2,NON_ELECTIVE
80,MI1003,Giáo dục Quốc phòng,0,NON_ELECTIVE
81,MT1003,Giải tích 1,4,NON_ELECTIVE
82,MT1005,Giải tích 2,4,NON_ELECTIVE
83,MT1007,Đại số Tuyến tính,3,NON_ELECTIVE
84,MT2013,Xác suất và Thống kê,4,NON_ELECTIVE
85,PE1003,Giáo dục thể chất 1,0,NON_ELECTIVE
86,PE1005,Giáo dục thể chất 2,0,NON_ELECTIVE
87,PH1003,Vật lý 1,4,NON_ELECTIVE
88,PH1007,Thí nghiệm Vật lý,1,NON_ELECTIVE
89,SP1007,Pháp luật Việt Nam Đại cương,2,NON_ELECTIVE
90,SP1031,Triết học Mác - Lênin,3,NON_ELECTIVE
91,SP1033,Kinh tế Chính trị Mác - Lênin,2,NON_ELECTIVE
92,SP1035,Chủ nghĩa Xã hội Khoa học,2,NON_ELECTIVE
93,SP1037,Tư tưởng Hồ Chí Minh,2,NON_ELECTIVE
94,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,NON_ELECTIVE
